country,points,price,variety,country_from_location,keywords
0,0.3544983762587686,-0.29224405999348535,45,0.0,Dry Creek Zin robust dry spicy sour cherry candy red currants blueberries tart raisins peppery spices barbecue
1,-1.1300006868013983,-0.46694758701015526,20,,herbaceous thin soft lightweight lemon zest ready to drink
0,-1.1300006868013983,-0.5018882924134892,31,,simple easy wealth raspberry strawberry floral notes delicate sweet good acidity
0,0.057598563646735254,0.16198511024985646,21,,dry-farmed vineyard wild yeast minimal new French oak Petite chewy leathery tannins crowd pleaser blackberries coffee pepper
0,0.9482980014828354,1.000562039929872,25,0.0,dark grape cherry flavor cinnamon black peppercorn light-bodied ethereally layered rustic earthiness leather
0,0.3544983762587686,0.3017479318631924,2,,Cabernet Cab Franc Syrah blend funky meaty juicy black fruit toasted oak wood austere overcharred
2,0.3544983762587686,-0.04765912217014746,20,2.0,Taurasi Fatica Contadina determined powerful spice dark fruit tobacco cigar palate austere tightly structured
0,0.651398188870802,0.23186652105652442,37,0.0,Walla Walla Les Collines Vineyard Syrah strawberry cherry chocolate forward flavorful cellar
0,0.651398188870802,-0.46694758701015526,43,,Viognier dry zesty acidity complex flavors citrus peach kumquat white pepper chamomile honey
0,0.651398188870802,-0.43200688160682127,35,,crisp refreshing Sauvignon Blanc stainless steel savory citrus green grass minerals flowers drinkable bone-dry
0,1.2451978140948687,1.3499690939632119,5,0.0,proprietary bottling Shafer 2010 Petite Verdot blackberry jam black currant dark chocolate sweet oak 20 months 100% new French oak barrels balance age 2018
2,0.3544983762587686,0.057162994039854496,27,,organically farmed fruit Sangiovese Cabernet Sauvignon Colorino inky dark color savory aromas ripe fruit prune plum leather tobacco exotic spice firm well structured velvety tannins
2,0.3544983762587686,-0.3970661762034873,19,,aromas blue flower black-skinned fruit Mediterranean scrub chewy palate juicy black cherry ground pepper drink young
2,0.9482980014828354,0.930680629123204,33,2.0,bright clean linear spice blackberry leather tobacco hearty meat dinner velvety soft texture
0,-0.833100874189365,-0.5018882924134892,5,0.0,Columbia Valley Rattlesnake Hills AVA single vineyard cassis berry black olive herb forest floor decaying leaves
0,1.2451978140948687,-0.29224405999348535,44,,2009 vintage blend Marsanne Grenache Blanc Picpoul Roussanne complex rich dense stone fruit tropical fruit caramel nougat marshmallow spice young years of life ahead
2,-0.5362010615773315,-0.5717697032201572,27,2.0,blend Nero d'Avola Syrah Merlot Cabernet Sauvignon entry-level red genuine fruit flavors overall freshness
0,-1.723800312025465,-0.3970661762034873,39,,cigar box green herbs woodspice medium bodied coffee nori smoke-filled finish
0,-0.23930124896529814,-0.11754053297681542,36,,rough texture flavorful vanilla lime strawberry yeast sparkling wine everyday
1,1.5420976267069022,2.0487832020298917,7,1.0,Charmes approachable friendly steel fist demands time great wine drink now
0,-1.723800312025465,-0.7464732302368271,25,,photocopy thinned-down Pinot Noir dry watery cherry-cola
0,-0.23930124896529814,0.09210369944318848,45,,Spicy dry Zin currants tobacco pepper cocoa thick tannins low acidity soft mouthfeel elegant
0,0.9482980014828354,-0.11754053297681542,25,,fresh ripe raspberry cranberry-skin tartness blood pencil shavings eucalyptus vanilla stick lively tasty ripe tart red fruits juicy chaparral scrub
0,0.3544983762587686,0.23186652105652442,2,1.0,pleasant fruity rich Bordeaux blend wealth of flavor blackberries cherries red currants black currants sweet oak smoky oak firm tannins finely ground tannins youth hold for 4–6 years
1,1.2451978140948687,0.5812735750898642,29,1.0,powerful intense white Hermitage golden straw color richness scents of honey butterscotch unctuous grilled nuts stone fruits warmth
0,1.8389974393189357,3.201826480339913,2,0.0,Bordeaux blend Steven Kent Winery Cabernet cassis black cherry Cab Franc spice Petit Verdot Malbec Merlot tannic Livermore California winemaking
